names.geno	Entry	Lines	stp2012	crk2012	stp2013	stp2014	stp2015	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
MN97369	MN97369	MN	40MS	5S	40 MRMS	40MRMS	20RMR	-	;	;2+	4	4	4
MN97448	MN97448	MN	20MS	TR	10 RMR	10MRMS	10MS	0;	;	3+	4	4	4
MN97518	MN97518	MN	5R	TR	10 MR	10RMR	20MRMS	3+	3	3+	4	4	4
MN97695	MN97695	MN	40MS	-	40 MRMS	30RMR	5RMR	;	;2	2+	2	0	1
MN98389	MN98389	MN	60S	30S	40 MS	50MS	40MS	0	;2	3+	2	4	3
MN98550-5	MN98550-5	MN	50MS	-	70 S	60S	70MSS	3+	;22+	3+	4	1	2.5
MN99112-10-2	MN99112-10-2	MN	30MS	TR	40 MR	40RMR	20MRMS	3+	;22+	3+	4	1	2.5
MN99192-10	MN99192-10	MN	-	-	40 MR	40RMR	20MRMS	-	-	3+	4	1	2.5
MN99225-1-3	MN99225-1-3	MN	20MRMS	10MRMS	50 MS	50MRMS	50MSS	;	;2	;2+	4	4	4
MN99394-1	MN99394-1	MN	-	-	-	-	30RMR	-	-	-	-	4	4
NORDEN	Norden	MN	TR	TR	5R	10RMR	5R	;1-	22+	;22+	6	4	5
ROLLAG	Rollag	MN	5R	TR	20 RMR	40MRMS	20MRMS	;	;1	;3	4	4	4
SABIN	Sabin	MN	10MS	5MS	20 RMR	30MRMS	20RMR	3+	;1	3+	6	4	5
TOM	Tom	MN	5MS	5MS	20 RMR	10RMR	20RMR	0	0;	;3	6	4	5
VERDE	VERDE	MN	10RMR	10MRMS	20 RMR	40MRMS	10RMR	;	;	22+	4	5	4.5
2375	2375	NDSU	50MRMS	10MRMS	60 MS	30MRMS	20MRMS	0;	0;	4	6	4	5
ALSEN	Alsen	NDSU	5MS	5MS	20 MRMS	40MS	10MS	0	;	3	4	4	4
ARGENT	ARGENT	NDSU	5R	40S	TR	40MS	5R	;	;2	;22+	4	4	4
BARLOW	Barlow	NDSU	50MRMS	20S	40 MS	60MS	40MS	0	0;	2+	2	0	1
BUTTE	Butte	NDSU	60MS	20S	60 MS	60MS	40MS	;	;1	3+	2	4	3
DAPPS	Dapps	NDSU	-	30S	20 RMR	10RMR	20MRMS	0;	0;	2+	4	4	4
GRANDIN	GRANDIN	NDSU	80S	30S	60 MS	60S	50MSS	0	;	3+	2	4	3
HOWARD	Howard	NDSU	5S	20S	40 MS	40MRMS	30MS	0	;	3	2	4	3
KEENE	KEENE	NDSU	60S	30S	30 RMR	70MSS	70S	0	;	2+3	2	4	3
KULM	KULM	NDSU	30MRMS	20S	40 MS	30MRMS	60MSS	0;	0;	2+3	2	1	1.5
PARSHALL	Parshall	NDSU	30MRMS	20MR	10 RMR	30MRMS	50MRMS	0	;	;2+3	2	1	1.5
PROSPER	Prosper	NDSU	5S	20S	40 MS	60S	50S	0	;1	3	6	4	5
REEDER	Reeder	NDSU	-	10S	30 MRMS	30MS	20MS	;	;	3	4	4	4
STEELE_ND	Steele-ND	NDSU	5S	10S	40 MS	50S	30MS	0	;	3;	4	1	2.5
STOA	Stoa	NDSU	-	-	30 MRMS	40MS	50MSS	0;	-	-	6	4	5
VELVA	Velva	NDSU	5S	30S	30 MS	30MS	50MSS	0;	0;	2+3	4	5	4.5
WALDRON	Waldron	NDSU	30S	30MRMS	10 R	5M	10RMR	0	;	3+	6	5	5.5
FBC_DYLAN	FBC-Dylan (KW 175)	North Dakota Farmer Breeder club	40MRMS	10MS	30 MR	40MS	20RMR	0	0;	3+	6	4	5
AMAZON	AMAZON	North Star Genetics	30MS	5S	30 MRMS	50MS	40MS	0;	0;	3+	6	12	9
AURORA	AURORA	North Star Genetics	20RMR	10MR	30 RMR	60MRMS	20RMR	0;	0;	;2+	4	5	4.5
BAKKER_GOLD	Bakker Gold	North Star Genetics	20MS	20MRMS	30 RMR	30RMR	20RMR	3+	;2	;3	6	12	9
DANDY	DANDY	North Star Genetics	40MRMS	20MR	40 MR	40MRMS	60RMR	;1-	0;	;2+3	2	1	1.5
FIREBALL	Fireball	North Star Genetics	-	10S	5 R	40MSS	5RMR	0	0;	3+	6	4	5
HOTSHOT	Hotshot	North Star Genetics	30MS	5MRMS	50 MS	30MS	10MRMS	3+	;1	3+	4	12	8
MERCURY	MERCURY	North Star Genetics	10R	10MRMS	30 MR	40MRMS	5R	0;	;	;2	4	14	9
NORWELL	Norwell	North Star Genetics	10MS	5MS	30 MRMS	40MRMS	30MS	3+	;/3+	3+	6	5	5.5
POLARIS	Polaris	North Star Genetics	30MRMS	10MRMS	30 MRMS	30MS	10RMR	3+	;1	3+;	6	12	9
SATURN	Saturn	North Star Genetics	5RMR	TR	20 RMR	20MRMS	10MRMS	0;	0;	0;	10	12	11
BRICK	Brick	SDSU	10RMR	5MS	20 MR	20MRMS	10MRMS	0;	0;	2	2	0	1
EMBER	EMBER	SDSU	40MRMS	40S	30 MRMS	10MRMS	60MS	0;	;12	2	2	4	3
FORGE	FORGE	SDSU	40MRMS	40S	50 MS	40RMR	60MS	;	;	22+	2	0	1
GRANGER	Granger	SDSU	-	TR	20 RMR	-	5RMR	0	0;	;2	-	4	4
INGOT	INGOT	SDSU	50MRMS	50S	50 MS	70MSS	70S	;	;	22+	4	0	2
RUSS	RUSS	SDSU	TR	20S	5 R	5RMR	5RMR	0	;	3+	2	4	3
SD3997	SD3997	SDSU	5R	5R	20 RMR	20MRMS	10RMR	0	0;	;22+	2	4	3
SD4023	SD4023	SDSU	5R	5R	10 R	10RMR	10RMR	0	0;	;23	4	4	4
SELECT	Select	SDSU	10RMR	TR	10 RMR	10RMR	10RMR	0;	;	0;	2	0	1
SHARP	SHARP	SDSU	30MRMS	30MRMS	40 MR	30RMR	50 MRMS	0;	;	2	2	4	3
TRAVERSE	Traverse	SDSU	TR	5R	10 RMR	5R	5R	0;	;	-	2	4	3
WALWORTH	Walworth	SDSU	30MRMS	20MRMS	50 MRMS	30MRMS	20MRMS	0	0;	3+	2	0	1
CROMWELL	Cromwell	Thunder Seed	40MRMS	20MRMS	40 MR	40MRMS	50RMR	0;	;	2+	4	4	4
BIGG_REDD	Bigg Red	Westbred	30MRMS	10MSS	60 MRMS	40RMR	30MRMS/50S	0;	0;	3+	6	4	5
BLADE	Blade	Westbred	5MRMS	TR	10 RMR	30RMR	5RMR	;	;	3+;	4	4	4
BREAKER	Breaker	Westbred	5RMR	TR	10 RMR	40RMR	10RMR	-	-	;2	4	4	4
BROGAN	Brogan	Westbred	5RMR	TR	10 RMR	10MRMS	20MRMS	0	;	;22+	4	4	4
EDGE	Edge	Westbred	20RMR	5MRMS	50 MS	40MRMS	70S	;	0;	;2	2	4	3
EXPRESS	Express	Westbred	-	10MRMS	20 MRMS	50MS	50MS	0;	0;	0;	12	5	8.5
GRANITE	Granite	Westbred	TR	30MRMS	50 MRMS	20MRMS	20MRMS	0	0;	;2	6	7	6.5
KEYSTONE	KEYSTONE	Westbred	5RMR	10MRMS	40 RMR	30MRMS	30MRMS	0;	;1	-	6	5	5.5
PIVOT	Pivot	Westbred	5RMR	5MR	30 RMR	20RMR	30RMR	;1	;	;2	4	4	4
RUSH	Rush	Westbred	20MR	10MRMS	30 RMR	40MRMS	20RMR	0;	;1	2	2	4	3
SAMSON	Samson	Westbred	5RMR	TR	2O MRMS	40MRMS	10MRMS	-	-	3;	2	4	3
SHARPSHOOTER	SHARPSHOOTER	Westbred	40MS	40MSS	-	30MRMS	-	0	0;	-	4	-	4
TROOPER	Trooper	Westbred	-	-	40 RMR	40MRMS	40MRMS	0;	0;	;2	4	4	4
VANTAGE	Vantage	Westbred	20MRMS	5S	40 RMR	20MRMS	10RMR	-	-	;2	6	12	9
WB_DIGGER	WB-Digger	Westbred	5RMR	5MR	30 MR	20MRMS	30RMR	-	-	2	8	6	7
WB_LYN	WB-Lyn	Westbred	TR	TR	10 R	5RMR	5R	0;	0;	2+	6	6	6
WB_MAYVILLE	WB-Mayville	Westbred	5R	TR	30 MR	20MRMS	10MRMS	-	-	3+	4	4	4
03S0253-7	03S0253-7	Syngenta Exp	20RMR	5MR	20 RMR	40MRMS	20RMR	0;	;	2+	4	4	4
04S0258-12	04S0258-12	Syngenta Exp	5RMR	TR	5 R	20MRMS	5RMR	0	0;	0;	6	4	5
05S0261-10	05S0261-10	Syngenta Exp	50MRMS	TR	10 R	10RMR	5RMR	0;	;	;2	8	4	6
04S0198-16	04S0198-16	Syngenta Exp	TR	TR	10 R	20RMR	10RMR	0;	;	;2	6	4	5
04S0282-7	04S0282-7	Syngenta Exp	10RMR	5MR	20 R	30RMR	10RMR	;1	;	2	6	4	5
05S0045-12	05S0045-12	Syngenta Exp	5S	10MRMS	20 MR	30MS	5MS	0;	0;	;22+	6	12	9
05S0157-4	05S0157-4	Syngenta Exp	5MS	5MRMS	5 R	20MRMS	10MS	0	0;	2+3	4	4	4
05S0204-12	05S0204-12	Syngenta Exp	TR	TR	5 R	5R	TR	0;	0;	;2	6	4	5
05S0242-6	05S0242-6	Syngenta Exp	TR	5MR	5 R	10RMR	TR	0;	0;	;3	6	4	5
05S0271-25	05S0271-25	Syngenta Exp	TR	5MR	5 R	10MRMS	TR	0;	0;	0;	6	4	5
06S0040-10	06S0040-10	Syngenta Exp	5R	TR	5 R	20RMR	TR	;1	;	2+	8	4	6
06S0040-14	06S0040-14	Syngenta Exp	20RMR	5MR	10 MR	10RMR	5R	;2	;	2	6	4	5
06S0044-18	06S0044-18	Syngenta Exp	TR	TR	30 MR	30MR	5R	;	0;	;2	6	4	5
06S0058-3	06S0058-3	Syngenta Exp	5RMR	10MS	20 RMR	30MRMS	40MS	0	0;	2	8	6	7
06S0156-9	06S0156-9	Syngenta Exp	TR	TR	TR	10RMR	5R	0	0;	2+	6	6	6
06S0157-1	06S0157-1	Syngenta Exp	TR	5MS	30 MRMS	30MRMS	10MS	0;	0;	2+	6	4	5
06S0205-2	06S0205-2	Syngenta Exp	TR	TR	TR	TR	5R	0	0;	2+	8	4	6
06S0327-1	06S0327-1	Syngenta Exp	TR	TR	30 RMR	10RMR	5R	0;	0;	0;	6	4	5
06S0327-13	06S0327-13	Syngenta Exp	TR	10MS	20 MRMS	20RMR	5R	;	0;	;2	6	4	5
06S0327-22	06S0327-22	Syngenta Exp	10RMR	TR	10 RMR	20MRMS	30RMR	;	0;	;2	6	4	5
N10-0113	N10-0113	Limagrain	5RMR	10MS	30 MR	10R	5R	treated	treated	treated	6	4	5
N10-0137	N10-0137	Limagrain	10RMR	5MS	50 MR	30MRMS	50MRMS	treated	treated	treated	6	4	5
N10-0144	N10-0144	Limagrain	TR	10MS	20 MRMS	30MRMS	10MS	treated	treated	treated	6	12	9
N10-0146	N10-0146	Limagrain	TR	TR	TR	TR	TR	treated	treated	treated	6	7	6.5
N10-0147	N10-0147	Limagrain	10RMR	TR	40 MR	TR	20R	treated	treated	treated	6	4	5
N10-0163	N10-0163	Limagrain	10RMR	5MS	10 RMR	20MRMS	10MS	treated	treated	treated	6	4	5
N10-0172	N10-0172	Limagrain	20RMR	5MS	10 R	30MRMS	50MRMS	treated	treated	treated	6	6	6
N10-0176	N10-0176	Limagrain	5S	5S	30 MRMS	50S	60S	treated	treated	treated	4	4	4
N10-0177	N10-0177	Limagrain	5MRS	10S	10 R	20MRMS	10MRMS	treated	treated	treated	4	4	4
N10-0180	N10-0180	Limagrain	5MRMS	10S	10 M	20M	50S	treated	treated	treated	6	4	5
N10-0181	N10-0181	Limagrain	5RMR	TR	5 R	20MRMS	10RMR	treated	treated	treated	6	4	5
N10-0182	N10-0182	Limagrain	20MRMS	5S	30 MRMS	50MRMS	40MRMS	treated	treated	treated	4	4	4
N10-0188	N10-0188	Limagrain	70MS	20S	40 MRMS	70S	60RMR	treated	treated	treated	6	4	5
N10-0221	N10-0221	Limagrain	5R	TR	TR	5R	10R	treated	treated	treated	6	4	5
N10-0427	N10-0427	Limagrain	TR	TR	TR	TR	10RMR	treated	treated	treated	6	7	6.5
N10-0441	N10-0441	Limagrain	TR	5S	20 MRMS	-	10RMR	treated	treated	treated	-	4	4
N10-0493	N10-0493	Limagrain	30MRMS	10S	20 RMR	30MRMS	10MRMS	treated	treated	treated	6	4	5
N10-0499	N10-0499	Limagrain	TR	20S	10 RMR	-	30MS	treated	treated	treated	-	4	4
N10-0534	N10-0534	Limagrain	50MRMS	5S	20 RMR	-	50MSS	treated	treated	treated	-	12	12
