names.geno	Entry	Lines	stp2012	crk2012	stp2013	stp2014	stp2015	Race1	CA1.2	Field.Mix	Flower2014	Hdg2015	Hdg_avg	stp2013.sev	stp2013.it	stp2013.coi	stp2015.sev	stp2015.it	stp2015.coi
CURTIBA_2285	Curtiba 2285		20MRMS	20S	20 RMR	40MRMS	40MRMS	-	;1	4	6	12	9	20	0.27	5.4	40	0.53	21.2
DIAMANTE	Diamente		70MS	20S	60 MS	50MS	70MSS	-	;	4	4	4	4	60	0.8	48	70	0.87	60.9
EL_PATO	El Pato		20MS	5MS	30 MS	50S	50MS	0;	;	;3	4	4	4	30	0.8	24	50	0.8	40
TINAJONES	Tinajones		20RMR	5MSS	50 MR	20MRMS	20RMR	3+	3+	3+	4	5	4.5	50	0.4	20	20	0.27	5.4
PARTICIPACION	Participacion		-	30MS		ww	-	;	;	3+	41	-	41	NA	NA	NA	NA	NA	NA
SONKA_INTA	Sonka INTA		30MRMS	5MR	50 MR	40MRMS	30MRMS	0;	;	;23	4	4	4	50	0.4	20	30	0.53	15.9
SINVALOCHO_MA	Sinvalocho MA		40MRMS	TR	30 MR	30MS	5MRMS	3+	3+	4	8	12	10	30	0.4	12	5	0.53	2.65
CALDEN_INTA	Calden INTA		-	-	-	-Missing	-	-	-	-	-	-	-	NA	NA	NA	NA	NA	NA
JACQUI	Jacqui		TR	TR	10 R	TR	5R	3+	3+	;3+	6	12	9	10	0.2	2	5	0.2	1
KLEIN_IMPACTO	Klein Impacto		-	20S		10RMR	-	;	0;	3+;	18	-	18	NA	NA	NA	NA	NA	NA
PARAGUAY214	Paraqui 214		80S	60S	70 MS	50MS	-	;	0;	3+	12	-	12	70	0.8	56	NA	NA	NA
MARCO_JUAREZ	Marco Juarez		50MS	30S	30 MS	40MRMS	10MS	3+	;	3+	15	12	13.5	30	0.8	24	10	0.8	8
HUENUFEN	Huenufen		50MS	50S/TR	40 MSS	ww	-	-	-	3+	26	-	26	40	0.87	34.8	NA	NA	NA
ITAPUA5	Itapua 5		80S/TR	40S	50 MR	60MS	30MRMS	2+	;	-	4	4	4	50	0.4	20	30	0.53	15.9
ESTANZUELA_DOLORES	E. Dolores		90S	30MRMS	50 MS	80S	70S	;	;	3+	4	4	4	50	0.8	40	70	1	70
ESTANZUELA_DAKURU	E. Dakuru		TR	TR	20 MS	10RMR	5R	;	3+	-	2	4	3	20	0.8	16	5	0.2	1
E_DORADO	E. Dorado		50S	5S	40 MS	60S	-	0	0	-	6	-	6	40	0.8	32	NA	NA	NA
GERARDO_594	Gerardo 594		TR	TR	TR	10RMR	TR	;12	3+	;2+	18	15	16.5	2	0.2	0.4	2	0.2	0.4
GLOSSY_HUGENOT	Glossy Hugenot		TR	TR	-	TR	5R	3+	3+	3+	12	6	9	NA	NA	NA	5	0.2	1
HERCULES	Hercules		TR	5MRMS	TR	TR	5RMR	3+	-	3+	18	13	15.5	2	0.2	0.4	5	0.27	1.35
DUROS_BORDOS	Duros Bordos		TR	TR	TR	TR	-	3	-	-	14	-	14	2	0.2	0.4	NA	NA	NA
ARENDETO	Arendeto		TR	20S	-	-Missing	10RMR	3	-	;	-	12	12	NA	NA	NA	10	0.27	2.7
LAKOTA	Lakota		TR	TR	TR	TR	10MRMS	3+	3+	;22+	26	16	21	2	0.2	0.4	10	0.53	5.3
LEEDS	Leeds		TR	5MR	TR	TR	5R	3+	3+	;22+	20	12	16	2	0.2	0.4	5	0.2	1
KUBANKA	Kubanka		TR	TR	5 R	30RMR	10R	2+	3+	3	14	18	16	5	0.2	1	10	0.2	2
LANGDON	Langdon		TR	TR	TR	10MR	10RMR	3+	3+	3+	22	12	17	2	0.2	0.4	10	0.27	2.7
KARKOV	Karkov		20MRMS	-	20 MRMS	40MS	-	3+	3+	0	6	-	6	20	0.53	10.6	NA	NA	NA
STEWART_63	Stewart 63		TR	TR	TR	ww	10R	;12	3+	22+	30	5	17.5	2	0.2	0.4	10	0.2	2
KYLE	Kyle		TR	TR	TR	5RMR	TR	3+	3+	3+;	18	14	16	2	0.2	0.4	2	0.2	0.4
LLOYD	Lloyd		TR	5MRMS	TR	5RMR	30MR	3+	3+	3+;	16	13	14.5	2	0.2	0.4	30	0.4	12
MEDORA	Medora		TR	TR	TR	TR	10RMR	3	3+	;13	12	12	12	2	0.2	0.4	10	0.27	2.7
MINDUM	Mindum		TR	TR	TR	ww	TR	-	3+	;12	30	19	24.5	2	0.2	0.4	2	0.2	0.4
VENCEDOR	Vencendor		TR	TR	10 R	10RMR	10RMR	2+;	3+	;2+3	6	7	6.5	10	0.2	2	10	0.27	2.7
ZERAMEK	Zeramek		TR	TR	TR	ww	TR	;2	3+	;	33	19	26	2	0.2	0.4	2	0.2	0.4
YAVOROS_79	Yavoros 79		TR	TR	TR	TR	TR	3+	3+	;22+	12	12	12	2	0.2	0.4	2	0.2	0.4
WASCANA	Wascana		TR	TR	-	TR	TR	-	-	-	22	20	21	NA	NA	NA	2	0.2	0.4
BRENNAN	Brennan	AgriPro	TR	TR	20 MR	30RMR	30MRMS	;	;	;12	2	12	7	20	0.4	8	30	0.53	15.9
FREYR	Freyr	AgriPro	20RMR	10MS	40 MS	30RMR	20MRMS	;	;1	3	2	4	3	40	0.8	32	20	0.53	10.6
GUNNER	GUNNER	AgriPro	20MR	20MS	5 MR	10RMR	10RMR	0;	0;	3+	4	4	4	5	0.4	2	10	0.27	2.7
HAGAR	HAGAR	AgriPro	20RMR	5MS	30 MR	30MRMS	20RMR	;2	0;	2+3	2	4	3	30	0.4	12	20	0.27	5.4
HAMER	HAMER	AgriPro	40MRMS	TR	40 MR	50MRMS	20RMR	;	;	2+3	4	4	4	40	0.4	16	20	0.27	5.4
HANNA	Hanna	AgriPro	50MS	30MS	50 MRMS	50MS	60M	;	;	;22+	2	4	3	50	0.53	26.5	60	0.6	36
IVAN	IVAN	AgriPro	TR	5MR	10 RMR	30MRMS	5RMR	0;	0;	3;	2	12	7	10	0.27	2.7	5	0.27	1.35
JENNA	Jenna	AgriPro	TR	TR	30 MR	30MRMS	10MRMS	;	0;	;123	2	12	7	30	0.4	12	10	0.53	5.3
KELBY	Kelby	AgriPro	TR	TR	20 MR	30MRMS	10RMR	;1	0;	22+	4	6	5	20	0.4	8	10	0.27	2.7
KUNTZ	Kuntz	AgriPro	20MRMS	10MSS	30 MR	20RMR	10RMR	;	;	2+	2	4	3	30	0.4	12	10	0.27	2.7
LARS	LARS	AgriPro	20RMR	5MS	30 MR	40MS	60MRMS	;	;	3	2	4	3	30	0.4	12	60	0.53	31.8
NORA	NORA	AgriPro	40RMR	TR	20 RMR	40RMR	30RMR	0;	0;	3;	2	4	3	20	0.27	5.4	30	0.27	8.1
NORPRO	Norpro	AgriPro	-	5MS	10 MR	-	20MS	0;	0;	;2+3	-	4	4	10	0.4	4	20	0.8	16
SY_SOREN	SY-Soren	AgriPro	5RMR	TR	10 MR	30RMR	20RMR	;1	;	;22+	4	4	4	10	0.4	4	20	0.27	5.4
AC_BARRIE	AC BARRIE	Canada	50MRMS	40MS	40 MR	60MRMS	70MSS	;	;2	2+	6	4	5	40	0.4	16	70	0.87	60.9
CDC_BOUNTY	CDC BOUNTY	Canada	30MS	5S	40 MS	40MS	60MS	3+	3+	3+	6	12	9	40	0.8	32	60	0.8	48
ALBANY	Albany	Limagrain	TR	TR	TR	TR	5R	-	;1	3+;	10	5	7.5	2	0.2	0.4	5	0.2	1
BANTON	Banton	Limagrain	TR	TR	5 R	TR	TR	0;	0;	2+3;	4	5	4.5	5	0.2	1	2	0.2	0.4
BUCK_PRONTO	Buck Pronto	Limagrain	5RMR	TR	20 MR	10MRMS	20MRMS	0	0;	3+;	4	5	4.5	20	0.4	8	20	0.53	10.6
HAT_TRICK	Hat Trick	Limagrain	10MS	5S	40 MS	10MSS	10MS	-	-	0;	6	6	6	40	0.8	32	10	0.8	8
BACUP	BACUP	MN	40MS	TR	5 R	20MRMS	70MSS	;1-	;	33+;	8	0	4	5	0.2	1	70	0.87	60.9
CHRIS	CHRIS	MN	30MS	10MRMS	30 MRMS	40MRMS	40MRMS	3+	;2	3+	6	12	9	30	0.53	15.9	40	0.53	21.2
ERA	Era	MN	30MS	5RMR	40 MS	50MRMS	30MRMS	;	;12	3+	8	12	10	40	0.8	32	30	0.53	15.9
HJ-98	HJ98	MN	30MS	10MR	5 MR	20M	20MS	3+	;1	3+	4	7	5.5	5	0.4	2	20	0.8	16
MCVEY	MCVEY	MN	10MS	10MRMS	20 RMR	20RMR	20MRMS	22+	;1	3+	8	12	10	20	0.27	5.4	20	0.53	10.6
MN01333-A	MN01333-A	MN	TR	TR	TR	5R	5R	;	;2	;2	4	1	2.5	2	0.2	0.4	5	0.2	1
MN02072-7	MN02072-7	MN	TR	TR	5 R	10RMR	10MRMS	;	0;	-	4	1	2.5	5	0.2	1	10	0.53	5.3
MN03148	MN03148	MN	10RMR	TR	10 R	40MRMS	30RMR	;	;	;2	2	4	3	10	0.2	2	30	0.27	8.1
MN05209	MN05209	MN	5R	TR	TR	TR	10MRMMS	;1	;12-	3+;	4	4	4	2	0.2	0.4	10	0.55	5.5
MN06028	MN06028	MN	5R	TR	10 RMR	20RMR	20MRMS	;	;	;2+	4	4	4	10	0.27	2.7	20	0.53	10.6
MN06075-4	MN06075-4	MN	TR	TR	5 R	5R	TR	0	0;	0;	4	4	4	5	0.2	1	2	0.2	0.4
MN06113-8	MN06113-8	MN	-	TR	TR	5R	TR	-	-	0;	4	0	2	2	0.2	0.4	2	0.2	0.4
MN07098-6	MN07098-6	MN	TR	TR	30 MS	50S	50MS	0	0;	;23	6	4	5	30	0.8	24	50	0.8	40
MN97369	MN97369	MN	40MS	5S	40 MRMS	40MRMS	20RMR	-	;	;2+	4	4	4	40	0.53	21.2	20	0.27	5.4
MN97448	MN97448	MN	20MS	TR	10 RMR	10MRMS	10MS	0;	;	3+	4	4	4	10	0.27	2.7	10	0.8	8
MN97518	MN97518	MN	5R	TR	10 MR	10RMR	20MRMS	3+	3	3+	4	4	4	10	0.4	4	20	0.53	10.6
MN97695	MN97695	MN	40MS	-	40 MRMS	30RMR	5RMR	;	;2	2+	2	0	1	40	0.53	21.2	5	0.27	1.35
MN98389	MN98389	MN	60S	30S	40 MS	50MS	40MS	0	;2	3+	2	4	3	40	0.8	32	40	0.8	32
MN98550-5	MN98550-5	MN	50MS	-	70 S	60S	70MSS	3+	;22+	3+	4	1	2.5	70	1	70	70	0.87	60.9
MN99112-10-2	MN99112-10-2	MN	30MS	TR	40 MR	40RMR	20MRMS	3+	;22+	3+	4	1	2.5	40	0.4	16	20	0.53	10.6
MN99192-10	MN99192-10	MN	-	-	40 MR	40RMR	20MRMS	-	-	3+	4	1	2.5	40	0.4	16	20	0.53	10.6
MN99225-1-3	MN99225-1-3	MN	20MRMS	10MRMS	50 MS	50MRMS	50MSS	;	;2	;2+	4	4	4	50	0.8	40	50	0.87	43.5
MN99394-1	MN99394-1	MN	-	-	-	-	30RMR	-	-	-	-	4	4	NA	NA	NA	30	0.27	8.1
NORDEN	Norden	MN	TR	TR	5R	10RMR	5R	;1-	22+	;22+	6	4	5	5	0.2	1	5	0.2	1
ROLLAG	Rollag	MN	5R	TR	20 RMR	40MRMS	20MRMS	;	;1	;3	4	4	4	20	0.27	5.4	20	0.53	10.6
SABIN	Sabin	MN	10MS	5MS	20 RMR	30MRMS	20RMR	3+	;1	3+	6	4	5	20	0.27	5.4	20	0.27	5.4
TOM	Tom	MN	5MS	5MS	20 RMR	10RMR	20RMR	0	0;	;3	6	4	5	20	0.27	5.4	20	0.27	5.4
VERDE	VERDE	MN	10RMR	10MRMS	20 RMR	40MRMS	10RMR	;	;	22+	4	5	4.5	20	0.27	5.4	10	0.27	2.7
2375	2375	NDSU	50MRMS	10MRMS	60 MS	30MRMS	20MRMS	0;	0;	4	6	4	5	60	0.8	48	20	0.53	10.6
ALSEN	Alsen	NDSU	5MS	5MS	20 MRMS	40MS	10MS	0	;	3	4	4	4	20	0.53	10.6	10	0.8	8
ARGENT	ARGENT	NDSU	5R	40S	TR	40MS	5R	;	;2	;22+	4	4	4	2	0.2	0.4	5	0.2	1
BARLOW	Barlow	NDSU	50MRMS	20S	40 MS	60MS	40MS	0	0;	2+	2	0	1	40	0.8	32	40	0.8	32
BUTTE	Butte	NDSU	60MS	20S	60 MS	60MS	40MS	;	;1	3+	2	4	3	60	0.8	48	40	0.8	32
DAPPS	Dapps	NDSU	-	30S	20 RMR	10RMR	20MRMS	0;	0;	2+	4	4	4	20	0.27	5.4	20	0.53	10.6
GRANDIN	GRANDIN	NDSU	80S	30S	60 MS	60S	50MSS	0	;	3+	2	4	3	60	0.8	48	50	0.87	43.5
HOWARD	Howard	NDSU	5S	20S	40 MS	40MRMS	30MS	0	;	3	2	4	3	40	0.8	32	30	0.8	24
KEENE	KEENE	NDSU	60S	30S	30 RMR	70MSS	70S	0	;	2+3	2	4	3	30	0.27	8.1	70	1	70
KULM	KULM	NDSU	30MRMS	20S	40 MS	30MRMS	60MSS	0;	0;	2+3	2	1	1.5	40	0.8	32	60	0.87	52.2
PARSHALL	Parshall	NDSU	30MRMS	20MR	10 RMR	30MRMS	50MRMS	0	;	;2+3	2	1	1.5	10	0.27	2.7	50	0.53	26.5
PROSPER	Prosper	NDSU	5S	20S	40 MS	60S	50S	0	;1	3	6	4	5	40	0.8	32	50	1	50
REEDER	Reeder	NDSU	-	10S	30 MRMS	30MS	20MS	;	;	3	4	4	4	30	0.53	15.9	20	0.8	16
STEELE_ND	Steele-ND	NDSU	5S	10S	40 MS	50S	30MS	0	;	3;	4	1	2.5	40	0.8	32	30	0.8	24
STOA	Stoa	NDSU	-	-	30 MRMS	40MS	50MSS	0;	-	-	6	4	5	30	0.53	15.9	50	0.87	43.5
VELVA	Velva	NDSU	5S	30S	30 MS	30MS	50MSS	0;	0;	2+3	4	5	4.5	30	0.8	24	50	0.87	43.5
WALDRON	Waldron	NDSU	30S	30MRMS	10 R	5M	10RMR	0	;	3+	6	5	5.5	10	0.2	2	10	0.27	2.7
FBC_DYLAN	FBC-Dylan (KW 175)	North Dakota Farmer Breeder club	40MRMS	10MS	30 MR	40MS	20RMR	0	0;	3+	6	4	5	30	0.4	12	20	0.27	5.4
AMAZON	AMAZON	North Star Genetics	30MS	5S	30 MRMS	50MS	40MS	0;	0;	3+	6	12	9	30	0.53	15.9	40	0.8	32
AURORA	AURORA	North Star Genetics	20RMR	10MR	30 RMR	60MRMS	20RMR	0;	0;	;2+	4	5	4.5	30	0.27	8.1	20	0.27	5.4
BAKKER_GOLD	Bakker Gold	North Star Genetics	20MS	20MRMS	30 RMR	30RMR	20RMR	3+	;2	;3	6	12	9	30	0.27	8.1	20	0.27	5.4
DANDY	DANDY	North Star Genetics	40MRMS	20MR	40 MR	40MRMS	60RMR	;1-	0;	;2+3	2	1	1.5	40	0.4	16	60	0.27	16.2
FIREBALL	Fireball	North Star Genetics	-	10S	5 R	40MSS	5RMR	0	0;	3+	6	4	5	5	0.2	1	5	0.27	1.35
HOTSHOT	Hotshot	North Star Genetics	30MS	5MRMS	50 MS	30MS	10MRMS	3+	;1	3+	4	12	8	50	0.8	40	10	0.53	5.3
MERCURY	MERCURY	North Star Genetics	10R	10MRMS	30 MR	40MRMS	5R	0;	;	;2	4	14	9	30	0.4	12	5	0.2	1
NORWELL	Norwell	North Star Genetics	10MS	5MS	30 MRMS	40MRMS	30MS	3+	;/3+	3+	6	5	5.5	30	0.53	15.9	30	0.8	24
POLARIS	Polaris	North Star Genetics	30MRMS	10MRMS	30 MRMS	30MS	10RMR	3+	;1	3+;	6	12	9	30	0.53	15.9	10	0.27	2.7
SATURN	Saturn	North Star Genetics	5RMR	TR	20 RMR	20MRMS	10MRMS	0;	0;	0;	10	12	11	20	0.27	5.4	10	0.53	5.3
BRICK	Brick	SDSU	10RMR	5MS	20 MR	20MRMS	10MRMS	0;	0;	2	2	0	1	20	0.4	8	10	0.53	5.3
EMBER	EMBER	SDSU	40MRMS	40S	30 MRMS	10MRMS	60MS	0;	;12	2	2	4	3	30	0.53	15.9	60	0.8	48
FORGE	FORGE	SDSU	40MRMS	40S	50 MS	40RMR	60MS	;	;	22+	2	0	1	50	0.8	40	60	0.8	48
GRANGER	Granger	SDSU	-	TR	20 RMR	-	5RMR	0	0;	;2	-	4	4	20	0.27	5.4	5	0.27	1.35
INGOT	INGOT	SDSU	50MRMS	50S	50 MS	70MSS	70S	;	;	22+	4	0	2	50	0.8	40	70	1	70
RUSS	RUSS	SDSU	TR	20S	5 R	5RMR	5RMR	0	;	3+	2	4	3	5	0.2	1	5	0.27	1.35
SD3997	SD3997	SDSU	5R	5R	20 RMR	20MRMS	10RMR	0	0;	;22+	2	4	3	20	0.27	5.4	10	0.27	2.7
SD4023	SD4023	SDSU	5R	5R	10 R	10RMR	10RMR	0	0;	;23	4	4	4	10	0.2	2	10	0.27	2.7
SELECT	Select	SDSU	10RMR	TR	10 RMR	10RMR	10RMR	0;	;	0;	2	0	1	10	0.27	2.7	10	0.27	2.7
SHARP	SHARP	SDSU	30MRMS	30MRMS	40 MR	30RMR	50 MRMS	0;	;	2	2	4	3	40	0.4	16	50	0.53	26.5
TRAVERSE	Traverse	SDSU	TR	5R	10 RMR	5R	5R	0;	;	-	2	4	3	10	0.27	2.7	5	0.2	1
WALWORTH	Walworth	SDSU	30MRMS	20MRMS	50 MRMS	30MRMS	20MRMS	0	0;	3+	2	0	1	50	0.53	26.5	20	0.53	10.6
CROMWELL	Cromwell	Thunder Seed	40MRMS	20MRMS	40 MR	40MRMS	50RMR	0;	;	2+	4	4	4	40	0.4	16	50	0.27	13.5
BIGG_REDD	Bigg Red	Westbred	30MRMS	10MSS	60 MRMS	40RMR	30MRMS/50S	0;	0;	3+	6	4	5	60	0.53	31.8	36.67	0.69	25.18
BLADE	Blade	Westbred	5MRMS	TR	10 RMR	30RMR	5RMR	;	;	3+;	4	4	4	10	0.27	2.7	5	0.27	1.35
BREAKER	Breaker	Westbred	5RMR	TR	10 RMR	40RMR	10RMR	-	-	;2	4	4	4	10	0.27	2.7	10	0.27	2.7
BROGAN	Brogan	Westbred	5RMR	TR	10 RMR	10MRMS	20MRMS	0	;	;22+	4	4	4	10	0.27	2.7	20	0.53	10.6
EDGE	Edge	Westbred	20RMR	5MRMS	50 MS	40MRMS	70S	;	0;	;2	2	4	3	50	0.8	40	70	1	70
EXPRESS	Express	Westbred	-	10MRMS	20 MRMS	50MS	50MS	0;	0;	0;	12	5	8.5	20	0.53	10.6	50	0.8	40
GRANITE	Granite	Westbred	TR	30MRMS	50 MRMS	20MRMS	20MRMS	0	0;	;2	6	7	6.5	50	0.53	26.5	20	0.53	10.6
KEYSTONE	KEYSTONE	Westbred	5RMR	10MRMS	40 RMR	30MRMS	30MRMS	0;	;1	-	6	5	5.5	40	0.27	10.8	30	0.53	15.9
PIVOT	Pivot	Westbred	5RMR	5MR	30 RMR	20RMR	30RMR	;1	;	;2	4	4	4	30	0.27	8.1	30	0.27	8.1
RUSH	Rush	Westbred	20MR	10MRMS	30 RMR	40MRMS	20RMR	0;	;1	2	2	4	3	30	0.27	8.1	20	0.27	5.4
SAMSON	Samson	Westbred	5RMR	TR	2O MRMS	40MRMS	10MRMS	-	-	3;	2	4	3	NA	NA	NA	10	0.53	5.3
SHARPSHOOTER	SHARPSHOOTER	Westbred	40MS	40MSS	-	30MRMS	-	0	0;	-	4	-	4	NA	NA	NA	NA	NA	NA
TROOPER	Trooper	Westbred	-	-	40 RMR	40MRMS	40MRMS	0;	0;	;2	4	4	4	40	0.27	10.8	40	0.53	21.2
VANTAGE	Vantage	Westbred	20MRMS	5S	40 RMR	20MRMS	10RMR	-	-	;2	6	12	9	40	0.27	10.8	10	0.27	2.7
WB_DIGGER	WB-Digger	Westbred	5RMR	5MR	30 MR	20MRMS	30RMR	-	-	2	8	6	7	30	0.4	12	30	0.27	8.1
WB_LYN	WB-Lyn	Westbred	TR	TR	10 R	5RMR	5R	0;	0;	2+	6	6	6	10	0.2	2	5	0.2	1
WB_MAYVILLE	WB-Mayville	Westbred	5R	TR	30 MR	20MRMS	10MRMS	-	-	3+	4	4	4	30	0.4	12	10	0.53	5.3
03S0253-7	03S0253-7	Syngenta Exp	20RMR	5MR	20 RMR	40MRMS	20RMR	0;	;	2+	4	4	4	20	0.27	5.4	20	0.27	5.4
04S0258-12	04S0258-12	Syngenta Exp	5RMR	TR	5 R	20MRMS	5RMR	0	0;	0;	6	4	5	5	0.2	1	5	0.27	1.35
05S0261-10	05S0261-10	Syngenta Exp	50MRMS	TR	10 R	10RMR	5RMR	0;	;	;2	8	4	6	10	0.2	2	5	0.27	1.35
04S0198-16	04S0198-16	Syngenta Exp	TR	TR	10 R	20RMR	10RMR	0;	;	;2	6	4	5	10	0.2	2	10	0.27	2.7
04S0282-7	04S0282-7	Syngenta Exp	10RMR	5MR	20 R	30RMR	10RMR	;1	;	2	6	4	5	20	0.2	4	10	0.27	2.7
05S0045-12	05S0045-12	Syngenta Exp	5S	10MRMS	20 MR	30MS	5MS	0;	0;	;22+	6	12	9	20	0.4	8	5	0.8	4
05S0157-4	05S0157-4	Syngenta Exp	5MS	5MRMS	5 R	20MRMS	10MS	0	0;	2+3	4	4	4	5	0.2	1	10	0.8	8
05S0204-12	05S0204-12	Syngenta Exp	TR	TR	5 R	5R	TR	0;	0;	;2	6	4	5	5	0.2	1	2	0.2	0.4
05S0242-6	05S0242-6	Syngenta Exp	TR	5MR	5 R	10RMR	TR	0;	0;	;3	6	4	5	5	0.2	1	2	0.2	0.4
05S0271-25	05S0271-25	Syngenta Exp	TR	5MR	5 R	10MRMS	TR	0;	0;	0;	6	4	5	5	0.2	1	2	0.2	0.4
06S0040-10	06S0040-10	Syngenta Exp	5R	TR	5 R	20RMR	TR	;1	;	2+	8	4	6	5	0.2	1	2	0.2	0.4
06S0040-14	06S0040-14	Syngenta Exp	20RMR	5MR	10 MR	10RMR	5R	;2	;	2	6	4	5	10	0.4	4	5	0.2	1
06S0044-18	06S0044-18	Syngenta Exp	TR	TR	30 MR	30MR	5R	;	0;	;2	6	4	5	30	0.4	12	5	0.2	1
06S0058-3	06S0058-3	Syngenta Exp	5RMR	10MS	20 RMR	30MRMS	40MS	0	0;	2	8	6	7	20	0.27	5.4	40	0.8	32
06S0156-9	06S0156-9	Syngenta Exp	TR	TR	TR	10RMR	5R	0	0;	2+	6	6	6	2	0.2	0.4	5	0.2	1
06S0157-1	06S0157-1	Syngenta Exp	TR	5MS	30 MRMS	30MRMS	10MS	0;	0;	2+	6	4	5	30	0.53	15.9	10	0.8	8
06S0205-2	06S0205-2	Syngenta Exp	TR	TR	TR	TR	5R	0	0;	2+	8	4	6	2	0.2	0.4	5	0.2	1
06S0327-1	06S0327-1	Syngenta Exp	TR	TR	30 RMR	10RMR	5R	0;	0;	0;	6	4	5	30	0.27	8.1	5	0.2	1
06S0327-13	06S0327-13	Syngenta Exp	TR	10MS	20 MRMS	20RMR	5R	;	0;	;2	6	4	5	20	0.53	10.6	5	0.2	1
06S0327-22	06S0327-22	Syngenta Exp	10RMR	TR	10 RMR	20MRMS	30RMR	;	0;	;2	6	4	5	10	0.27	2.7	30	0.27	8.1
N10-0113	N10-0113	Limagrain	5RMR	10MS	30 MR	10R	5R	treated	treated	treated	6	4	5	30	0.4	12	5	0.2	1
N10-0137	N10-0137	Limagrain	10RMR	5MS	50 MR	30MRMS	50MRMS	treated	treated	treated	6	4	5	50	0.4	20	50	0.53	26.5
N10-0144	N10-0144	Limagrain	TR	10MS	20 MRMS	30MRMS	10MS	treated	treated	treated	6	12	9	20	0.53	10.6	10	0.8	8
N10-0146	N10-0146	Limagrain	TR	TR	TR	TR	TR	treated	treated	treated	6	7	6.5	2	0.2	0.4	2	0.2	0.4
N10-0147	N10-0147	Limagrain	10RMR	TR	40 MR	TR	20R	treated	treated	treated	6	4	5	40	0.4	16	20	0.2	4
N10-0163	N10-0163	Limagrain	10RMR	5MS	10 RMR	20MRMS	10MS	treated	treated	treated	6	4	5	10	0.27	2.7	10	0.8	8
N10-0172	N10-0172	Limagrain	20RMR	5MS	10 R	30MRMS	50MRMS	treated	treated	treated	6	6	6	10	0.2	2	50	0.53	26.5
N10-0176	N10-0176	Limagrain	5S	5S	30 MRMS	50S	60S	treated	treated	treated	4	4	4	30	0.53	15.9	60	1	60
N10-0177	N10-0177	Limagrain	5MRS	10S	10 R	20MRMS	10MRMS	treated	treated	treated	4	4	4	10	0.2	2	10	0.53	5.3
N10-0180	N10-0180	Limagrain	5MRMS	10S	10 M	20M	50S	treated	treated	treated	6	4	5	10	0.6	6	50	1	50
N10-0181	N10-0181	Limagrain	5RMR	TR	5 R	20MRMS	10RMR	treated	treated	treated	6	4	5	5	0.2	1	10	0.27	2.7
N10-0182	N10-0182	Limagrain	20MRMS	5S	30 MRMS	50MRMS	40MRMS	treated	treated	treated	4	4	4	30	0.53	15.9	40	0.53	21.2
N10-0188	N10-0188	Limagrain	70MS	20S	40 MRMS	70S	60RMR	treated	treated	treated	6	4	5	40	0.53	21.2	60	0.27	16.2
N10-0221	N10-0221	Limagrain	5R	TR	TR	5R	10R	treated	treated	treated	6	4	5	2	0.2	0.4	10	0.2	2
N10-0427	N10-0427	Limagrain	TR	TR	TR	TR	10RMR	treated	treated	treated	6	7	6.5	2	0.2	0.4	10	0.27	2.7
N10-0441	N10-0441	Limagrain	TR	5S	20 MRMS	-	10RMR	treated	treated	treated	-	4	4	20	0.53	10.6	10	0.27	2.7
N10-0493	N10-0493	Limagrain	30MRMS	10S	20 RMR	30MRMS	10MRMS	treated	treated	treated	6	4	5	20	0.27	5.4	10	0.53	5.3
N10-0499	N10-0499	Limagrain	TR	20S	10 RMR	-	30MS	treated	treated	treated	-	4	4	10	0.27	2.7	30	0.8	24
N10-0534	N10-0534	Limagrain	50MRMS	5S	20 RMR	-	50MSS	treated	treated	treated	-	12	12	20	0.27	5.4	50	0.87	43.5
