names.geno	Entry	Lines	stp2012	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2015	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
OVED_ZENATI	Oued Zenati 368		50S	20MRMS	20	0.53	10.6	50MS	50	0.8	40.0	-	70MS	3+	3+	4	-	12	12
SUPRESA	Supresa		40S	20MSS	20	0.87	17.4	40MRMS	40	0.53	21.2	50S	30MRMS	3+	;	4	2	7	4.5
TITAN	Titan		30MS	5MS	5	0.8	4.0	30MS	30	0.8	24.0	10MRMS	30MS	;12	;	3+2+	20	17	18.5
MARICOPA	Maricopa		-	NA	NA	NA	NA	80S	80	1.0	80.0	ww	80S	3+	-	3+	41	20	30.5
KLEIN_COMETA	Klein Cometa		20MR	40MSS	40	0.87	34.8	10R	10	0.2	2.0	5R	20RMR	3+	;	3+	4	5	4.5
SURGUENTES_INTA	Surgentes INTA		90S	70S	70	1.0	70.0	80S	80	1.0	80.0	80S	70S	;1	;12	4	4	4	4
HUELQUEN	Huelquen		40MS	60S	60	1.0	60.0	80S	80	1.0	80.0	80S	50MS	;	3+	4	2	4	3
CURTIBA_2285	Curtiba 2285		20MRMS	20S	20	1.0	20.0	20RMR	20	0.27	5.4	40MRMS	40MRMS	-	;1	4	6	12	9
DIAMANTE	Diamente		70MS	20S	20	1.0	20.0	60MS	60	0.8	48.0	50MS	70MSS	-	;	4	4	4	4
EL_PATO	El Pato		20MS	5MS	5	0.8	4.0	30MS	30	0.8	24.0	50S	50MS	0;	;	;3	4	4	4
TINAJONES	Tinajones		20RMR	5MSS	5	0.87	4.35	50MR	50	0.4	20.0	20MRMS	20RMR	3+	3+	3+	4	5	4.5
PARTICIPACION	Participacion		-	30MS	30	0.8	24.0		NA	NA	NA	ww	-	;	;	3+	41	-	41
SONKA_INTA	Sonka INTA		30MRMS	5MR	5	0.4	2.0	50MR	50	0.4	20.0	40MRMS	30MRMS	0;	;	;23	4	4	4
SINVALOCHO_MA	Sinvalocho MA		40MRMS	2R	2	0.2	0.4	30MR	30	0.4	12.0	30MS	5MRMS	3+	3+	4	8	12	10
CALDEN_INTA	Calden INTA		-	NA	NA	NA	NA	NA	NA	NA	NA	-Missing	-	-	-	-	-	-	-
JACQUI	Jacqui		TR	2R	2	0.2	0.4	10R	10	0.2	2.0	TR	5R	3+	3+	;3+	6	12	9
KLEIN_IMPACTO	Klein Impacto		-	20S	20	1.0	20.0		NA	NA	NA	10RMR	-	;	0;	3+;	18	-	18
PARAGUAY214	Paraqui 214		80S	60S	60	1.0	60.0	70MS	70	0.8	56.0	50MS	-	;	0;	3+	12	-	12
MARCO_JUAREZ	Marco Juarez		50MS	30S	30	1.0	30.0	30MS	30	0.8	24.0	40MRMS	10MS	3+	;	3+	15	12	13.5
HUENUFEN	Huenufen		50MS	50S2R	34	0.733333333333	24.9333333333	40MSS	40	0.87	34.8	ww	-	-	-	3+	26	-	26
ITAPUA5	Itapua 5		80S/TR	40S	40	1.0	40.0	50MR	50	0.4	20.0	60MS	30MRMS	2+	;	-	4	4	4
ESTANZUELA_DOLORES	E. Dolores		90S	30MRMS	30	0.53	15.9	50MS	50	0.8	40.0	80S	70S	;	;	3+	4	4	4
ESTANZUELA_DAKURU	E. Dakuru		TR	2R	2	0.2	0.4	20MS	20	0.8	16.0	10RMR	5R	;	3+	-	2	4	3
E_DORADO	E. Dorado		50S	5S	5	1.0	5.0	40MS	40	0.8	32.0	60S	-	0	0	-	6	-	6
GERARDO_594	Gerardo 594		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	10RMR	TR	;12	3+	;2+	18	15	16.5
GLOSSY_HUGENOT	Glossy Hugenot		TR	2R	2	0.2	0.4	NA	NA	NA	NA	TR	5R	3+	3+	3+	12	6	9
HERCULES	Hercules		TR	5MRMS	5	0.53	2.65	2R	2	0.2	0.4	TR	5RMR	3+	-	3+	18	13	15.5
DUROS_BORDOS	Duros Bordos		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	-	3	-	-	14	-	14
ARENDETO	Arendeto		TR	20S	20	1.0	20.0	NA	NA	NA	NA	-Missing	10RMR	3	-	;	-	12	12
LAKOTA	Lakota		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	10MRMS	3+	3+	;22+	26	16	21
LEEDS	Leeds		TR	5MR	5	0.4	2.0	2R	2	0.2	0.4	TR	5R	3+	3+	;22+	20	12	16
KUBANKA	Kubanka		TR	2R	2	0.2	0.4	5R	5	0.2	1.0	30RMR	10R	2+	3+	3	14	18	16
LANGDON	Langdon		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	10MR	10RMR	3+	3+	3+	22	12	17
KARKOV	Karkov		20MRMS	NA	NA	NA	NA	20MRMS	20	0.53	10.6	40MS	-	3+	3+	0	6	-	6
STEWART_63	Stewart 63		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	ww	10R	;12	3+	22+	30	5	17.5
KYLE	Kyle		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	5RMR	TR	3+	3+	3+;	18	14	16
LLOYD	Lloyd		TR	5MRMS	5	0.53	2.65	2R	2	0.2	0.4	5RMR	30MR	3+	3+	3+;	16	13	14.5
MEDORA	Medora		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	10RMR	3	3+	;13	12	12	12
MINDUM	Mindum		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	ww	TR	-	3+	;12	30	19	24.5
VENCEDOR	Vencendor		TR	2R	2	0.2	0.4	10R	10	0.2	2.0	10RMR	10RMR	2+;	3+	;2+3	6	7	6.5
ZERAMEK	Zeramek		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	ww	TR	;2	3+	;	33	19	26
YAVOROS_79	Yavoros 79		TR	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	TR	3+	3+	;22+	12	12	12
WASCANA	Wascana		TR	2R	2	0.2	0.4	NA	NA	NA	NA	TR	TR	-	-	-	22	20	21
BRENNAN	Brennan	AgriPro	TR	2R	2	0.2	0.4	20MR	20	0.4	8.0	30RMR	30MRMS	;	;	;12	2	12	7
FREYR	Freyr	AgriPro	20RMR	10MS	10	0.8	8.0	40MS	40	0.8	32.0	30RMR	20MRMS	;	;1	3	2	4	3
GUNNER	GUNNER	AgriPro	20MR	20MS	20	0.8	16.0	5MR	5	0.4	2.0	10RMR	10RMR	0;	0;	3+	4	4	4
HAGAR	HAGAR	AgriPro	20RMR	5MS	5	0.8	4.0	30MR	30	0.4	12.0	30MRMS	20RMR	;2	0;	2+3	2	4	3
HAMER	HAMER	AgriPro	40MRMS	2R	2	0.2	0.4	40MR	40	0.4	16.0	50MRMS	20RMR	;	;	2+3	4	4	4
HANNA	Hanna	AgriPro	50MS	30MS	30	0.8	24.0	50MRMS	50	0.53	26.5	50MS	60M	;	;	;22+	2	4	3
IVAN	IVAN	AgriPro	TR	5MR	5	0.4	2.0	10RMR	10	0.27	2.7	30MRMS	5RMR	0;	0;	3;	2	12	7
JENNA	Jenna	AgriPro	TR	2R	2	0.2	0.4	30MR	30	0.4	12.0	30MRMS	10MRMS	;	0;	;123	2	12	7
KELBY	Kelby	AgriPro	TR	2R	2	0.2	0.4	20MR	20	0.4	8.0	30MRMS	10RMR	;1	0;	22+	4	6	5
KUNTZ	Kuntz	AgriPro	20MRMS	10MSS	10	0.87	8.7	30MR	30	0.4	12.0	20RMR	10RMR	;	;	2+	2	4	3
LARS	LARS	AgriPro	20RMR	5MS	5	0.8	4.0	30MR	30	0.4	12.0	40MS	60MRMS	;	;	3	2	4	3
NORA	NORA	AgriPro	40RMR	2R	2	0.2	0.4	20RMR	20	0.27	5.4	40RMR	30RMR	0;	0;	3;	2	4	3
NORPRO	Norpro	AgriPro	-	5MS	5	0.8	4.0	10MR	10	0.4	4.0	-	20MS	0;	0;	;2+3	-	4	4
SY_SOREN	SY-Soren	AgriPro	5RMR	2R	2	0.2	0.4	10MR	10	0.4	4.0	30RMR	20RMR	;1	;	;22+	4	4	4
AC_BARRIE	AC BARRIE	Canada	50MRMS	40MS	40	0.8	32.0	40MR	40	0.4	16.0	60MRMS	70MSS	;	;2	2+	6	4	5
CDC_BOUNTY	CDC BOUNTY	Canada	30MS	5S	5	1.0	5.0	40MS	40	0.8	32.0	40MS	60MS	3+	3+	3+	6	12	9
ALBANY	Albany	Limagrain	TR	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	5R	-	;1	3+;	10	5	7.5
BANTON	Banton	Limagrain	TR	2R	2	0.2	0.4	5R	5	0.2	1.0	TR	TR	0;	0;	2+3;	4	5	4.5
BUCK_PRONTO	Buck Pronto	Limagrain	5RMR	2R	2	0.2	0.4	20MR	20	0.4	8.0	10MRMS	20MRMS	0	0;	3+;	4	5	4.5
HAT_TRICK	Hat Trick	Limagrain	10MS	5S	5	1.0	5.0	40MS	40	0.8	32.0	10MSS	10MS	-	-	0;	6	6	6
BACUP	BACUP	MN	40MS	2R	2	0.2	0.4	5R	5	0.2	1.0	20MRMS	70MSS	;1-	;	33+;	8	0	4
CHRIS	CHRIS	MN	30MS	10MRMS	10	0.53	5.3	30MRMS	30	0.53	15.9	40MRMS	40MRMS	3+	;2	3+	6	12	9
ERA	Era	MN	30MS	5RMR	5	0.27	1.35	40MS	40	0.8	32.0	50MRMS	30MRMS	;	;12	3+	8	12	10
HJ-98	HJ98	MN	30MS	10MR	10	0.4	4.0	5MR	5	0.4	2.0	20M	20MS	3+	;1	3+	4	7	5.5
MCVEY	MCVEY	MN	10MS	10MRMS	10	0.53	5.3	20RMR	20	0.27	5.4	20RMR	20MRMS	22+	;1	3+	8	12	10
MN01333-A	MN01333-A	MN	TR	2R	2	0.2	0.4	2R	2	0.2	0.4	5R	5R	;	;2	;2	4	1	2.5
MN02072-7	MN02072-7	MN	TR	2R	2	0.2	0.4	5R	5	0.2	1.0	10RMR	10MRMS	;	0;	-	4	1	2.5
MN03148	MN03148	MN	10RMR	2R	2	0.2	0.4	10R	10	0.2	2.0	40MRMS	30RMR	;	;	;2	2	4	3
MN05209	MN05209	MN	5R	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	10MRMMS	;1	;12-	3+;	4	4	4
MN06028	MN06028	MN	5R	2R	2	0.2	0.4	10RMR	10	0.27	2.7	20RMR	20MRMS	;	;	;2+	4	4	4
MN06075-4	MN06075-4	MN	TR	2R	2	0.2	0.4	5R	5	0.2	1.0	5R	TR	0	0;	0;	4	4	4
MN06113-8	MN06113-8	MN	-	2R	2	0.2	0.4	2R	2	0.2	0.4	5R	TR	-	-	0;	4	0	2
MN07098-6	MN07098-6	MN	TR	2R	2	0.2	0.4	30MS	30	0.8	24.0	50S	50MS	0	0;	;23	6	4	5
MN97369	MN97369	MN	40MS	5S	5	1.0	5.0	40MRMS	40	0.53	21.2	40MRMS	20RMR	-	;	;2+	4	4	4
MN97448	MN97448	MN	20MS	2R	2	0.2	0.4	10RMR	10	0.27	2.7	10MRMS	10MS	0;	;	3+	4	4	4
MN97518	MN97518	MN	5R	2R	2	0.2	0.4	10MR	10	0.4	4.0	10RMR	20MRMS	3+	3	3+	4	4	4
MN97695	MN97695	MN	40MS	NA	NA	NA	NA	40MRMS	40	0.53	21.2	30RMR	5RMR	;	;2	2+	2	0	1
MN98389	MN98389	MN	60S	30S	30	1.0	30.0	40MS	40	0.8	32.0	50MS	40MS	0	;2	3+	2	4	3
MN98550-5	MN98550-5	MN	50MS	NA	NA	NA	NA	70S	70	1.0	70.0	60S	70MSS	3+	;22+	3+	4	1	2.5
MN99112-10-2	MN99112-10-2	MN	30MS	2R	2	0.2	0.4	40MR	40	0.4	16.0	40RMR	20MRMS	3+	;22+	3+	4	1	2.5
MN99192-10	MN99192-10	MN	-	NA	NA	NA	NA	40MR	40	0.4	16.0	40RMR	20MRMS	-	-	3+	4	1	2.5
MN99225-1-3	MN99225-1-3	MN	20MRMS	10MRMS	10	0.53	5.3	50MS	50	0.8	40.0	50MRMS	50MSS	;	;2	;2+	4	4	4
MN99394-1	MN99394-1	MN	-	NA	NA	NA	NA	NA	NA	NA	NA	-	30RMR	-	-	-	-	4	4
NORDEN	Norden	MN	TR	2R	2	0.2	0.4	5R	5	0.2	1.0	10RMR	5R	;1-	22+	;22+	6	4	5
ROLLAG	Rollag	MN	5R	2R	2	0.2	0.4	20RMR	20	0.27	5.4	40MRMS	20MRMS	;	;1	;3	4	4	4
SABIN	Sabin	MN	10MS	5MS	5	0.8	4.0	20RMR	20	0.27	5.4	30MRMS	20RMR	3+	;1	3+	6	4	5
TOM	Tom	MN	5MS	5MS	5	0.8	4.0	20RMR	20	0.27	5.4	10RMR	20RMR	0	0;	;3	6	4	5
VERDE	VERDE	MN	10RMR	10MRMS	10	0.53	5.3	20RMR	20	0.27	5.4	40MRMS	10RMR	;	;	22+	4	5	4.5
2375	2375	NDSU	50MRMS	10MRMS	10	0.53	5.3	60MS	60	0.8	48.0	30MRMS	20MRMS	0;	0;	4	6	4	5
ALSEN	Alsen	NDSU	5MS	5MS	5	0.8	4.0	20MRMS	20	0.53	10.6	40MS	10MS	0	;	3	4	4	4
ARGENT	ARGENT	NDSU	5R	40S	40	1.0	40.0	2R	2	0.2	0.4	40MS	5R	;	;2	;22+	4	4	4
BARLOW	Barlow	NDSU	50MRMS	20S	20	1.0	20.0	40MS	40	0.8	32.0	60MS	40MS	0	0;	2+	2	0	1
BUTTE	Butte	NDSU	60MS	20S	20	1.0	20.0	60MS	60	0.8	48.0	60MS	40MS	;	;1	3+	2	4	3
DAPPS	Dapps	NDSU	-	30S	30	1.0	30.0	20RMR	20	0.27	5.4	10RMR	20MRMS	0;	0;	2+	4	4	4
GRANDIN	GRANDIN	NDSU	80S	30S	30	1.0	30.0	60MS	60	0.8	48.0	60S	50MSS	0	;	3+	2	4	3
HOWARD	Howard	NDSU	5S	20S	20	1.0	20.0	40MS	40	0.8	32.0	40MRMS	30MS	0	;	3	2	4	3
KEENE	KEENE	NDSU	60S	30S	30	1.0	30.0	30RMR	30	0.27	8.1	70MSS	70S	0	;	2+3	2	4	3
KULM	KULM	NDSU	30MRMS	20S	20	1.0	20.0	40MS	40	0.8	32.0	30MRMS	60MSS	0;	0;	2+3	2	1	1.5
PARSHALL	Parshall	NDSU	30MRMS	20MR	20	0.4	8.0	10RMR	10	0.27	2.7	30MRMS	50MRMS	0	;	;2+3	2	1	1.5
PROSPER	Prosper	NDSU	5S	20S	20	1.0	20.0	40MS	40	0.8	32.0	60S	50S	0	;1	3	6	4	5
REEDER	Reeder	NDSU	-	10S	10	1.0	10.0	30MRMS	30	0.53	15.9	30MS	20MS	;	;	3	4	4	4
STEELE_ND	Steele-ND	NDSU	5S	10S	10	1.0	10.0	40MS	40	0.8	32.0	50S	30MS	0	;	3;	4	1	2.5
STOA	Stoa	NDSU	-	NA	NA	NA	NA	30MRMS	30	0.53	15.9	40MS	50MSS	0;	-	-	6	4	5
VELVA	Velva	NDSU	5S	30S	30	1.0	30.0	30MS	30	0.8	24.0	30MS	50MSS	0;	0;	2+3	4	5	4.5
WALDRON	Waldron	NDSU	30S	30MRMS	30	0.53	15.9	10R	10	0.2	2.0	5M	10RMR	0	;	3+	6	5	5.5
FBC_DYLAN	FBC-Dylan (KW 175)	North Dakota Farmer Breeder club	40MRMS	10MS	10	0.8	8.0	30MR	30	0.4	12.0	40MS	20RMR	0	0;	3+	6	4	5
AMAZON	AMAZON	North Star Genetics	30MS	5S	5	1.0	5.0	30MRMS	30	0.53	15.9	50MS	40MS	0;	0;	3+	6	12	9
AURORA	AURORA	North Star Genetics	20RMR	10MR	10	0.4	4.0	30RMR	30	0.27	8.1	60MRMS	20RMR	0;	0;	;2+	4	5	4.5
BAKKER_GOLD	Bakker Gold	North Star Genetics	20MS	20MRMS	20	0.53	10.6	30RMR	30	0.27	8.1	30RMR	20RMR	3+	;2	;3	6	12	9
DANDY	DANDY	North Star Genetics	40MRMS	20MR	20	0.4	8.0	40MR	40	0.4	16.0	40MRMS	60RMR	;1-	0;	;2+3	2	1	1.5
FIREBALL	Fireball	North Star Genetics	-	10S	10	1.0	10.0	5R	5	0.2	1.0	40MSS	5RMR	0	0;	3+	6	4	5
HOTSHOT	Hotshot	North Star Genetics	30MS	5MRMS	5	0.53	2.65	50MS	50	0.8	40.0	30MS	10MRMS	3+	;1	3+	4	12	8
MERCURY	MERCURY	North Star Genetics	10R	10MRMS	10	0.53	5.3	30MR	30	0.4	12.0	40MRMS	5R	0;	;	;2	4	14	9
NORWELL	Norwell	North Star Genetics	10MS	5MS	5	0.8	4.0	30MRMS	30	0.53	15.9	40MRMS	30MS	3+	;/3+	3+	6	5	5.5
POLARIS	Polaris	North Star Genetics	30MRMS	10MRMS	10	0.53	5.3	30MRMS	30	0.53	15.9	30MS	10RMR	3+	;1	3+;	6	12	9
SATURN	Saturn	North Star Genetics	5RMR	2R	2	0.2	0.4	20RMR	20	0.27	5.4	20MRMS	10MRMS	0;	0;	0;	10	12	11
BRICK	Brick	SDSU	10RMR	5MS	5	0.8	4.0	20MR	20	0.4	8.0	20MRMS	10MRMS	0;	0;	2	2	0	1
EMBER	EMBER	SDSU	40MRMS	40S	40	1.0	40.0	30MRMS	30	0.53	15.9	10MRMS	60MS	0;	;12	2	2	4	3
FORGE	FORGE	SDSU	40MRMS	40S	40	1.0	40.0	50MS	50	0.8	40.0	40RMR	60MS	;	;	22+	2	0	1
GRANGER	Granger	SDSU	-	2R	2	0.2	0.4	20RMR	20	0.27	5.4	-	5RMR	0	0;	;2	-	4	4
INGOT	INGOT	SDSU	50MRMS	50S	50	1.0	50.0	50MS	50	0.8	40.0	70MSS	70S	;	;	22+	4	0	2
RUSS	RUSS	SDSU	TR	20S	20	1.0	20.0	5R	5	0.2	1.0	5RMR	5RMR	0	;	3+	2	4	3
SD3997	SD3997	SDSU	5R	5R	5	0.2	1.0	20RMR	20	0.27	5.4	20MRMS	10RMR	0	0;	;22+	2	4	3
SD4023	SD4023	SDSU	5R	5R	5	0.2	1.0	10R	10	0.2	2.0	10RMR	10RMR	0	0;	;23	4	4	4
SELECT	Select	SDSU	10RMR	2R	2	0.2	0.4	10RMR	10	0.27	2.7	10RMR	10RMR	0;	;	0;	2	0	1
SHARP	SHARP	SDSU	30MRMS	30MRMS	30	0.53	15.9	40MR	40	0.4	16.0	30RMR	50 MRMS	0;	;	2	2	4	3
TRAVERSE	Traverse	SDSU	TR	5R	5	0.2	1.0	10RMR	10	0.27	2.7	5R	5R	0;	;	-	2	4	3
WALWORTH	Walworth	SDSU	30MRMS	20MRMS	20	0.53	10.6	50MRMS	50	0.53	26.5	30MRMS	20MRMS	0	0;	3+	2	0	1
CROMWELL	Cromwell	Thunder Seed	40MRMS	20MRMS	20	0.53	10.6	40MR	40	0.4	16.0	40MRMS	50RMR	0;	;	2+	4	4	4
BIGG_REDD	Bigg Red	Westbred	30MRMS	10MSS	10	0.87	8.7	60MRMS	60	0.53	31.8	40RMR	30MRMS/50S	0;	0;	3+	6	4	5
BLADE	Blade	Westbred	5MRMS	2R	2	0.2	0.4	10RMR	10	0.27	2.7	30RMR	5RMR	;	;	3+;	4	4	4
BREAKER	Breaker	Westbred	5RMR	2R	2	0.2	0.4	10RMR	10	0.27	2.7	40RMR	10RMR	-	-	;2	4	4	4
BROGAN	Brogan	Westbred	5RMR	2R	2	0.2	0.4	10RMR	10	0.27	2.7	10MRMS	20MRMS	0	;	;22+	4	4	4
EDGE	Edge	Westbred	20RMR	5MRMS	5	0.53	2.65	50MS	50	0.8	40.0	40MRMS	70S	;	0;	;2	2	4	3
EXPRESS	Express	Westbred	-	10MRMS	10	0.53	5.3	20MRMS	20	0.53	10.6	50MS	50MS	0;	0;	0;	12	5	8.5
GRANITE	Granite	Westbred	TR	30MRMS	30	0.53	15.9	50MRMS	50	0.53	26.5	20MRMS	20MRMS	0	0;	;2	6	7	6.5
KEYSTONE	KEYSTONE	Westbred	5RMR	10MRMS	10	0.53	5.3	40RMR	40	0.27	10.8	30MRMS	30MRMS	0;	;1	-	6	5	5.5
PIVOT	Pivot	Westbred	5RMR	5MR	5	0.4	2.0	30RMR	30	0.27	8.1	20RMR	30RMR	;1	;	;2	4	4	4
RUSH	Rush	Westbred	20MR	10MRMS	10	0.53	5.3	30RMR	30	0.27	8.1	40MRMS	20RMR	0;	;1	2	2	4	3
SAMSON	Samson	Westbred	5RMR	2R	2	0.2	0.4	2OMRMS	NA	NA	NA	40MRMS	10MRMS	-	-	3;	2	4	3
SHARPSHOOTER	SHARPSHOOTER	Westbred	40MS	40MSS	40	0.87	34.8	NA	NA	NA	NA	30MRMS	-	0	0;	-	4	-	4
TROOPER	Trooper	Westbred	-	NA	NA	NA	NA	40RMR	40	0.27	10.8	40MRMS	40MRMS	0;	0;	;2	4	4	4
VANTAGE	Vantage	Westbred	20MRMS	5S	5	1.0	5.0	40RMR	40	0.27	10.8	20MRMS	10RMR	-	-	;2	6	12	9
WB_DIGGER	WB-Digger	Westbred	5RMR	5MR	5	0.4	2.0	30MR	30	0.4	12.0	20MRMS	30RMR	-	-	2	8	6	7
WB_LYN	WB-Lyn	Westbred	TR	2R	2	0.2	0.4	10R	10	0.2	2.0	5RMR	5R	0;	0;	2+	6	6	6
WB_MAYVILLE	WB-Mayville	Westbred	5R	2R	2	0.2	0.4	30MR	30	0.4	12.0	20MRMS	10MRMS	-	-	3+	4	4	4
03S0253-7	03S0253-7	Syngenta Exp	20RMR	5MR	5	0.4	2.0	20RMR	20	0.27	5.4	40MRMS	20RMR	0;	;	2+	4	4	4
04S0258-12	04S0258-12	Syngenta Exp	5RMR	2R	2	0.2	0.4	5R	5	0.2	1.0	20MRMS	5RMR	0	0;	0;	6	4	5
05S0261-10	05S0261-10	Syngenta Exp	50MRMS	2R	2	0.2	0.4	10R	10	0.2	2.0	10RMR	5RMR	0;	;	;2	8	4	6
04S0198-16	04S0198-16	Syngenta Exp	TR	2R	2	0.2	0.4	10R	10	0.2	2.0	20RMR	10RMR	0;	;	;2	6	4	5
04S0282-7	04S0282-7	Syngenta Exp	10RMR	5MR	5	0.4	2.0	20R	20	0.2	4.0	30RMR	10RMR	;1	;	2	6	4	5
05S0045-12	05S0045-12	Syngenta Exp	5S	10MRMS	10	0.53	5.3	20MR	20	0.4	8.0	30MS	5MS	0;	0;	;22+	6	12	9
05S0157-4	05S0157-4	Syngenta Exp	5MS	5MRMS	5	0.53	2.65	5R	5	0.2	1.0	20MRMS	10MS	0	0;	2+3	4	4	4
05S0204-12	05S0204-12	Syngenta Exp	TR	2R	2	0.2	0.4	5R	5	0.2	1.0	5R	TR	0;	0;	;2	6	4	5
05S0242-6	05S0242-6	Syngenta Exp	TR	5MR	5	0.4	2.0	5R	5	0.2	1.0	10RMR	TR	0;	0;	;3	6	4	5
05S0271-25	05S0271-25	Syngenta Exp	TR	5MR	5	0.4	2.0	5R	5	0.2	1.0	10MRMS	TR	0;	0;	0;	6	4	5
06S0040-10	06S0040-10	Syngenta Exp	5R	2R	2	0.2	0.4	5R	5	0.2	1.0	20RMR	TR	;1	;	2+	8	4	6
06S0040-14	06S0040-14	Syngenta Exp	20RMR	5MR	5	0.4	2.0	10MR	10	0.4	4.0	10RMR	5R	;2	;	2	6	4	5
06S0044-18	06S0044-18	Syngenta Exp	TR	2R	2	0.2	0.4	30MR	30	0.4	12.0	30MR	5R	;	0;	;2	6	4	5
06S0058-3	06S0058-3	Syngenta Exp	5RMR	10MS	10	0.8	8.0	20RMR	20	0.27	5.4	30MRMS	40MS	0	0;	2	8	6	7
06S0156-9	06S0156-9	Syngenta Exp	TR	2R	2	0.2	0.4	2R	2	0.2	0.4	10RMR	5R	0	0;	2+	6	6	6
06S0157-1	06S0157-1	Syngenta Exp	TR	5MS	5	0.8	4.0	30MRMS	30	0.53	15.9	30MRMS	10MS	0;	0;	2+	6	4	5
06S0205-2	06S0205-2	Syngenta Exp	TR	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	5R	0	0;	2+	8	4	6
06S0327-1	06S0327-1	Syngenta Exp	TR	2R	2	0.2	0.4	30RMR	30	0.27	8.1	10RMR	5R	0;	0;	0;	6	4	5
06S0327-13	06S0327-13	Syngenta Exp	TR	10MS	10	0.8	8.0	20MRMS	20	0.53	10.6	20RMR	5R	;	0;	;2	6	4	5
06S0327-22	06S0327-22	Syngenta Exp	10RMR	2R	2	0.2	0.4	10RMR	10	0.27	2.7	20MRMS	30RMR	;	0;	;2	6	4	5
N10-0113	N10-0113	Limagrain	5RMR	10MS	10	0.8	8.0	30MR	30	0.4	12.0	10R	5R	treated	treated	treated	6	4	5
N10-0137	N10-0137	Limagrain	10RMR	5MS	5	0.8	4.0	50MR	50	0.4	20.0	30MRMS	50MRMS	treated	treated	treated	6	4	5
N10-0144	N10-0144	Limagrain	TR	10MS	10	0.8	8.0	20MRMS	20	0.53	10.6	30MRMS	10MS	treated	treated	treated	6	12	9
N10-0146	N10-0146	Limagrain	TR	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	TR	treated	treated	treated	6	7	6.5
N10-0147	N10-0147	Limagrain	10RMR	2R	2	0.2	0.4	40MR	40	0.4	16.0	TR	20R	treated	treated	treated	6	4	5
N10-0163	N10-0163	Limagrain	10RMR	5MS	5	0.8	4.0	10RMR	10	0.27	2.7	20MRMS	10MS	treated	treated	treated	6	4	5
N10-0172	N10-0172	Limagrain	20RMR	5MS	5	0.8	4.0	10R	10	0.2	2.0	30MRMS	50MRMS	treated	treated	treated	6	6	6
N10-0176	N10-0176	Limagrain	5S	5S	5	1.0	5.0	30MRMS	30	0.53	15.9	50S	60S	treated	treated	treated	4	4	4
N10-0177	N10-0177	Limagrain	5MRS	10S	10	1.0	10.0	10R	10	0.2	2.0	20MRMS	10MRMS	treated	treated	treated	4	4	4
N10-0180	N10-0180	Limagrain	5MRMS	10S	10	1.0	10.0	10M	10	0.6	6.0	20M	50S	treated	treated	treated	6	4	5
N10-0181	N10-0181	Limagrain	5RMR	2R	2	0.2	0.4	5R	5	0.2	1.0	20MRMS	10RMR	treated	treated	treated	6	4	5
N10-0182	N10-0182	Limagrain	20MRMS	5S	5	1.0	5.0	30MRMS	30	0.53	15.9	50MRMS	40MRMS	treated	treated	treated	4	4	4
N10-0188	N10-0188	Limagrain	70MS	20S	20	1.0	20.0	40MRMS	40	0.53	21.2	70S	60RMR	treated	treated	treated	6	4	5
N10-0221	N10-0221	Limagrain	5R	2R	2	0.2	0.4	2R	2	0.2	0.4	5R	10R	treated	treated	treated	6	4	5
N10-0427	N10-0427	Limagrain	TR	2R	2	0.2	0.4	2R	2	0.2	0.4	TR	10RMR	treated	treated	treated	6	7	6.5
N10-0441	N10-0441	Limagrain	TR	5S	5	1.0	5.0	20MRMS	20	0.53	10.6	-	10RMR	treated	treated	treated	-	4	4
N10-0493	N10-0493	Limagrain	30MRMS	10S	10	1.0	10.0	20RMR	20	0.27	5.4	30MRMS	10MRMS	treated	treated	treated	6	4	5
N10-0499	N10-0499	Limagrain	TR	20S	20	1.0	20.0	10RMR	10	0.27	2.7	-	30MS	treated	treated	treated	-	4	4
N10-0534	N10-0534	Limagrain	50MRMS	5S	5	1.0	5.0	20RMR	20	0.27	5.4	-	50MSS	treated	treated	treated	-	12	12
